seq,display_name,source,custom,welcome_message
1,凌晨四点半,研途榜样公众号,false,你好，我是凌晨四点半，欢迎问我关于考研备考、择校和心态调整的问题。
2,Leo_真的不熬夜,研途榜样公众号,false,你好，我是Leo_真的不熬夜，欢迎问我关于考研备考、择校和心态调整的问题。
3,🍊橙子味的周二,研途榜样公众号,false,你好，我是🍊橙子味的周二，欢迎问我关于考研备考、择校和心态调整的问题。
4,mmm红豆泥,浙江大学飞跃手册,false,你好，我是mmm红豆泥，欢迎问我关于考研备考、择校和心态调整的问题。
5,id随便啦_,浙江大学飞跃手册,false,你好，我是id随便啦_，欢迎问我关于考研备考、择校和心态调整的问题。
6,西柚气泡水oO,浙江大学飞跃手册,false,你好，我是西柚气泡水oO，欢迎问我关于考研备考、择校和心态调整的问题。
7,hw_817,浙江大学飞跃手册,false,你好，我是hw_817，欢迎问我关于考研备考、择校和心态调整的问题。
8,油茶麻花脆,浙江大学飞跃手册,false,你好，我是油茶麻花脆，欢迎问我关于考研备考、择校和心态调整的问题。
9,雨由由呀,浙江大学飞跃手册,false,你好，我是雨由由呀，欢迎问我关于考研备考、择校和心态调整的问题。
10,辰辰今天摸鱼,浙江大学飞跃手册,false,你好，我是辰辰今天摸鱼，欢迎问我关于考研备考、择校和心态调整的问题。
11,林林七点半,浙江大学飞跃手册,false,你好，我是林林七点半，欢迎问我关于考研备考、择校和心态调整的问题。
12,浩仔不跑路,浙江大学飞跃手册,false,你好，我是浩仔不跑路，欢迎问我关于考研备考、择校和心态调整的问题。
13,路平_Ping,浙江大学飞跃手册,false,你好，我是路平_Ping，欢迎问我关于考研备考、择校和心态调整的问题。
14,铭洋MYang,浙江大学飞跃手册,false,你好，我是铭洋MYang，欢迎问我关于考研备考、择校和心态调整的问题。
15,乐乐今天开心,浙江大学飞跃手册,false,你好，我是乐乐今天开心，欢迎问我关于考研备考、择校和心态调整的问题。
16,云朵☁️轻一点,浙江大学飞跃手册,false,你好，我是云朵☁️轻一点，欢迎问我关于考研备考、择校和心态调整的问题。
17,HJ·碎碎念,浙江大学飞跃手册,false,你好，我是HJ·碎碎念，欢迎问我关于考研备考、择校和心态调整的问题。
18,强超强待机,浙江大学飞跃手册,false,你好，我是强超强待机，欢迎问我关于考研备考、择校和心态调整的问题。
19,欣欣一个人,浙江大学飞跃手册,false,你好，我是欣欣一个人，欢迎问我关于考研备考、择校和心态调整的问题。
20,fly飞飞不飞,浙江大学飞跃手册,false,你好，我是fly飞飞不飞，欢迎问我关于考研备考、择校和心态调整的问题。
21,丰丰OvO,浙江大学飞跃手册,false,你好，我是丰丰OvO，欢迎问我关于考研备考、择校和心态调整的问题。
22,溯溯回溯中,浙江大学飞跃手册,false,你好，我是溯溯回溯中，欢迎问我关于考研备考、择校和心态调整的问题。
23,阿亮别闹,浙江大学飞跃手册,false,你好，我是阿亮别闹，欢迎问我关于考研备考、择校和心态调整的问题。
24,澄澄子呀,浙江大学飞跃手册,false,你好，我是澄澄子呀，欢迎问我关于考研备考、择校和心态调整的问题。
25,mio茗一下,浙江大学飞跃手册,false,你好，我是mio茗一下，欢迎问我关于考研备考、择校和心态调整的问题。
26,应一声就好,浙江大学飞跃手册,false,你好，我是应一声就好，欢迎问我关于考研备考、择校和心态调整的问题。
27,毅然拒绝内卷,浙江大学飞跃手册,false,你好，我是毅然拒绝内卷，欢迎问我关于考研备考、择校和心态调整的问题。
28,ning_关关,浙江大学飞跃手册,false,你好，我是ning_关关，欢迎问我关于考研备考、择校和心态调整的问题。
29,KY梁同学,浙江大学飞跃手册,false,你好，我是KY梁同学，欢迎问我关于考研备考、择校和心态调整的问题。
30,不是鲫鱼是骥宇,浙江大学飞跃手册,false,你好，我是不是鲫鱼是骥宇，欢迎问我关于考研备考、择校和心态调整的问题。
31,昊昊不下饭,浙江大学飞跃手册,false,你好，我是昊昊不下饭，欢迎问我关于考研备考、择校和心态调整的问题。
32,铭泽MZday,浙江大学飞跃手册,false,你好，我是铭泽MZday，欢迎问我关于考研备考、择校和心态调整的问题。
33,泓毅hyi,浙江大学飞跃手册,false,你好，我是泓毅hyi，欢迎问我关于考研备考、择校和心态调整的问题。
34,zzz睿哲,浙江大学飞跃手册,false,你好，我是zzz睿哲，欢迎问我关于考研备考、择校和心态调整的问题。
35,楠楠南下中,浙江大学飞跃手册,false,你好，我是楠楠南下中，欢迎问我关于考研备考、择校和心态调整的问题。
36,瑞瑞想当咸鱼,浙江大学飞跃手册,false,你好，我是瑞瑞想当咸鱼，欢迎问我关于考研备考、择校和心态调整的问题。
37,君君不敢菌,浙江大学飞跃手册,false,你好，我是君君不敢菌，欢迎问我关于考研备考、择校和心态调整的问题。
38,马马马卷云,浙江大学飞跃手册,false,你好，我是马马马卷云，欢迎问我关于考研备考、择校和心态调整的问题。
39,忞忞很少上线,浙江大学飞跃手册,false,你好，我是忞忞很少上线，欢迎问我关于考研备考、择校和心态调整的问题。
40,下雨了楹楹,浙江大学飞跃手册,false,你好，我是下雨了楹楹，欢迎问我关于考研备考、择校和心态调整的问题。
41,毛毛雨别再下,浙江大学飞跃手册,false,你好，我是毛毛雨别再下，欢迎问我关于考研备考、择校和心态调整的问题。
42,Kevin在改版,浙江大学飞跃手册,false,你好，我是Kevin在改版，欢迎问我关于考研备考、择校和心态调整的问题。
43,天天想赖床,浙江大学飞跃手册,false,你好，我是天天想赖床，欢迎问我关于考研备考、择校和心态调整的问题。
44,璟_小灯泡,浙江大学飞跃手册,false,你好，我是璟_小灯泡，欢迎问我关于考研备考、择校和心态调整的问题。
45,龙腾四海小号,浙江大学飞跃手册,false,你好，我是龙腾四海小号，欢迎问我关于考研备考、择校和心态调整的问题。
46,夏夏_rz,浙江大学飞跃手册,false,你好，我是夏夏_rz，欢迎问我关于考研备考、择校和心态调整的问题。
47,亦平没披萨,浙江大学飞跃手册,false,你好，我是亦平没披萨，欢迎问我关于考研备考、择校和心态调整的问题。
48,法条啃不动,浙江大学飞跃手册,false,你好，我是法条啃不动，欢迎问我关于考研备考、择校和心态调整的问题。
49,翕跃十点半,浙江大学飞跃手册,false,你好，我是翕跃十点半，欢迎问我关于考研备考、择校和心态调整的问题。
50,KJ杰哥慢走,浙江大学飞跃手册,false,你好，我是KJ杰哥慢走，欢迎问我关于考研备考、择校和心态调整的问题。
51,万腾一根葱,浙江大学飞跃手册,false,你好，我是万腾一根葱，欢迎问我关于考研备考、择校和心态调整的问题。
52,wzh昊啊昊,浙江大学飞跃手册,false,你好，我是wzh昊啊昊，欢迎问我关于考研备考、择校和心态调整的问题。
53,暄暄别催啦,浙江大学飞跃手册,false,你好，我是暄暄别催啦，欢迎问我关于考研备考、择校和心态调整的问题。
54,泽_ChillZ,浙江大学飞跃手册,false,你好，我是泽_ChillZ，欢迎问我关于考研备考、择校和心态调整的问题。
55,Peak唐不糖,浙江大学飞跃手册,false,你好，我是Peak唐不糖，欢迎问我关于考研备考、择校和心态调整的问题。
56,田田今天吃饱,浙江大学飞跃手册,false,你好，我是田田今天吃饱，欢迎问我关于考研备考、择校和心态调整的问题。
57,奚奚哈哈哈哈,浙江大学飞跃手册,false,你好，我是奚奚哈哈哈哈，欢迎问我关于考研备考、择校和心态调整的问题。
58,nk能开张吗,浙江大学飞跃手册,false,你好，我是nk能开张吗，欢迎问我关于考研备考、择校和心态调整的问题。
59,昀祥今天晴,浙江大学飞跃手册,false,你好，我是昀祥今天晴，欢迎问我关于考研备考、择校和心态调整的问题。
60,sleep华泽先,浙江大学飞跃手册,false,你好，我是sleep华泽先，欢迎问我关于考研备考、择校和心态调整的问题。
61,虎贲不干杯,浙江大学飞跃手册,false,你好，我是虎贲不干杯，欢迎问我关于考研备考、择校和心态调整的问题。
62,shine昕玥,浙江大学飞跃手册,false,你好，我是shine昕玥，欢迎问我关于考研备考、择校和心态调整的问题。
63,煦华慢半拍__,浙江大学飞跃手册,false,你好，我是煦华慢半拍__，欢迎问我关于考研备考、择校和心态调整的问题。
64,幽灵不打烊,北邮飞跃手册,true,你好，欢迎问我关于出国留学申请、选校定位和套磁策略的问题。
65,星辰大海Luo,北邮飞跃手册,true,你好，欢迎问我关于出国留学申请、选校定位和套磁策略的问题。
66,carol吃薯片,北邮飞跃手册,true,你好，欢迎问我关于出国转专业申请和HCI方向选择的问题。
67,海浪轻轻摇,北邮飞跃手册,true,你好，欢迎问我关于出国留学申请、选校定位和套磁策略的问题。
68,小柯_Nap,北邮飞跃手册,true,你好，欢迎问我关于数媒转专业申请和Information Science方向选择的问题。
69,赢了别浪,北邮飞跃手册,true,你好，欢迎问我关于德国留学申请和APS审核准备的问题。
70,猫咪打盹中,北邮飞跃手册,true,你好，欢迎问我关于加拿大留学申请和ECE方向选校的问题。
71,旅人TripX,北邮飞跃手册,true,你好，欢迎问我关于出国留学申请、选校定位和套磁策略的问题。
72,泡泡不会破,北邮飞跃手册,true,你好，欢迎问我关于出国留学申请、选校定位和套磁策略的问题。
73,硬糖嘎嘣脆,北邮飞跃手册,true,你好，欢迎问我关于转专业申请PhD和工业工程方向选校的问题。
74,lyk_星期五,北邮飞跃手册,true,你好，欢迎问我关于出国留学申请、选校定位和套磁策略的问题。
75,天马行空bupt,北邮飞跃手册,true,你好，欢迎问我关于出国留学申请、选校定位和套磁策略的问题。
76,Func_不加班,北邮飞跃手册,true,你好，欢迎问我关于CS PhD申请、套磁和交叉方向选择的问题。
77,念旧的小鬼,北邮飞跃手册,true,你好，欢迎问我关于Networking方向PhD申请和套磁的问题。
78,亚星today,北邮飞跃手册,true,你好，欢迎问我关于EE方向留学申请和套磁的问题。
79,耳朵爱听歌,北邮飞跃手册,true,你好，欢迎问我关于数媒转专业申请和教育技术方向选择的问题。
80,toto想回家,北邮飞跃手册,true,你好，欢迎问我关于本科转学Transfer申请和选校的问题。
81,苹果酱w,北邮飞跃手册,true,你好，欢迎问我关于NLP方向PhD申请和选校的问题。
82,墨墨不上线,北邮飞跃手册,true,你好，欢迎问我关于HCI方向选择和数媒转专业申请的问题。
83,雷霆闪电89,北邮飞跃手册,true,你好，欢迎问我关于CS系统方向PhD申请和学术规划的问题。
84,小猪xp_Art,北邮飞跃手册,true,你好，欢迎问我关于工业设计留学申请和作品集准备的问题。
85,教训记牢了,北邮飞跃手册,true,你好，欢迎问我关于CSE PhD申请和本科直博的问题。
86,光子麦克斯,北邮飞跃手册,true,你好，欢迎问我关于光学方向留学申请和选校的问题。
87,码农阿喵,华科飞跃手册,true,你好，欢迎问我关于转CS硕士申请、选校对比和中介避坑的问题。
88,柠檬不酸ya,华科飞跃手册,true,你好，欢迎问我关于EE硕士申请、实习加分和文书写作的问题。
89,扶摇九万里,华科飞跃手册,true,你好，欢迎问我关于硕博混申策略、暑研选择和标化考试规划的问题。
90,北极星xw,华科飞跃手册,true,你好，欢迎问我关于欧洲硕士申请、DIY流程和低成本留学方案的问题。
91,追光Zzz,华科飞跃手册,true,你好，欢迎问我关于PhD与MS混申策略、暑研推荐信和签证问题的经验。
92,橘子汽水er,华科飞跃手册,true,你好，欢迎问我关于ECE硕士申请、GPA提升和暑研经历的问题。
93,嗷呜小怪兽,华科飞跃手册,true,你好，欢迎问我关于Mitacs暑研、ETH毕设和BME方向博士申请的问题。
94,暴走萝卜丁,华科飞跃手册,true,你好，欢迎问我关于CS PhD申请、顶会论文和暑研经历的问题。
95,晚风予星河,华科飞跃手册,true,你好，欢迎问我关于PhD申请流程、暑研选择和半DIY中介策略的问题。
96,阿拉蕾biu,华科飞跃手册,true,你好，欢迎问我关于无论文申PhD、暑研经历和硕博混申的问题。
97,太阳花2号,华科飞跃手册,true,你好，欢迎问我关于顶尖PhD申请、科研积累和综合软实力提升的问题。
98,鹤鸣九皋,华科飞跃手册,true,你好，欢迎问我关于高GPA申请、无暑研PhD策略和套磁技巧的问题。
99,蓝莓冰沙Q,华科飞跃手册,true,你好，欢迎问我关于欧洲和新加坡硕士申请、EPFL录取标准和巴黎高科面试的问题。
100,星球漫游33,华科飞跃手册,true,你好，欢迎问我关于3+2联合培养、KTH学习和瑞典生活的问题。
